 frequency       HctmagdB        HscmagdB       
 5.19995997e+02 -1.03939062e+00 -1.09699925e+00 
 5.24807460e+02 -1.05654200e+00 -1.11498312e+00 
 5.29663444e+02 -1.07394290e+00 -1.13322504e+00 
 5.34564359e+02 -1.09159591e+00 -1.15172760e+00 
 5.39510623e+02 -1.10950366e+00 -1.17049339e+00 
 5.44502653e+02 -1.12766873e+00 -1.18952500e+00 
 5.49540874e+02 -1.14609374e+00 -1.20882500e+00 
 5.54625713e+02 -1.16478127e+00 -1.22839596e+00 
 5.59757601e+02 -1.18373393e+00 -1.24824044e+00 
 5.64936975e+02 -1.20295428e+00 -1.26836099e+00 
 5.70164272e+02 -1.22244491e+00 -1.28876015e+00 
 5.75439937e+02 -1.24220837e+00 -1.30944043e+00 
 5.80764418e+02 -1.26224723e+00 -1.33040435e+00 
 5.86138165e+02 -1.28256402e+00 -1.35165441e+00 
 5.91561634e+02 -1.30316128e+00 -1.37319307e+00 
 5.97035287e+02 -1.32404153e+00 -1.39502281e+00 
 6.02559586e+02 -1.34520726e+00 -1.41714606e+00 
 6.08135001e+02 -1.36666096e+00 -1.43956525e+00 
