 frequency       HctmagdB        Hsc1magdB       Hsc2magdB       Hsc3magdB       Hsc4magdB       Hsc5magdB      
 3.58366567e+04 -3.10899301e+01 -2.89657860e+01 -2.94271498e+01 -2.94367032e+01 -2.94367923e+01 -2.94367927e+01 
 3.60368559e+04 -3.11382808e+01 -2.89907566e+01 -2.94528551e+01 -2.94625113e+01 -2.94626024e+01 -2.94626029e+01 
 3.62370551e+04 -3.11863640e+01 -2.90153927e+01 -2.94781440e+01 -2.94879009e+01 -2.94879939e+01 -2.94879944e+01 
 3.64372543e+04 -3.12341827e+01 -2.90396981e+01 -2.95030189e+01 -2.95128742e+01 -2.95129693e+01 -2.95129698e+01 
 3.66374535e+04 -3.12817398e+01 -2.90636763e+01 -2.95274824e+01 -2.95374339e+01 -2.95375310e+01 -2.95375315e+01 
 3.68376527e+04 -3.13290382e+01 -2.90873309e+01 -2.95515370e+01 -2.95615821e+01 -2.95616812e+01 -2.95616817e+01 
 3.70378519e+04 -3.13760805e+01 -2.91106653e+01 -2.95751851e+01 -2.95853211e+01 -2.95854222e+01 -2.95854228e+01 
 3.72380511e+04 -3.14228696e+01 -2.91336831e+01 -2.95984290e+01 -2.96086532e+01 -2.96087564e+01 -2.96087569e+01 
 3.74382503e+04 -3.14694083e+01 -2.91563876e+01 -2.96212711e+01 -2.96315806e+01 -2.96316857e+01 -2.96316863e+01 
 3.76384494e+04 -3.15156990e+01 -2.91787822e+01 -2.96437136e+01 -2.96541054e+01 -2.96542125e+01 -2.96542131e+01 
 3.78386486e+04 -3.15617446e+01 -2.92008703e+01 -2.96657588e+01 -2.96762296e+01 -2.96763387e+01 -2.96763393e+01 
 3.80388478e+04 -3.16075475e+01 -2.92226550e+01 -2.96874089e+01 -2.96979553e+01 -2.96980664e+01 -2.96980671e+01 
