 frequency       HctmagdB        HscmagdB       
 4.02408378e+04 -3.20960214e+01 -2.99112884e+01 
 4.03409369e+04 -3.21175874e+01 -2.99198795e+01 
 4.04410360e+04 -3.21391001e+01 -2.99283764e+01 
 4.05411351e+04 -3.21605597e+01 -2.99367793e+01 
 4.06412342e+04 -3.21819663e+01 -2.99450884e+01 
 4.07413333e+04 -3.22033204e+01 -2.99533038e+01 
 4.08414324e+04 -3.22246222e+01 -2.99614257e+01 
 4.09415315e+04 -3.22458719e+01 -2.99694543e+01 
 4.10416306e+04 -3.22670697e+01 -2.99773898e+01 
 4.11417297e+04 -3.22882160e+01 -2.99852323e+01 
 4.12418288e+04 -3.23093109e+01 -2.99929820e+01 
 4.13419279e+04 -3.23303548e+01 -3.00006390e+01 
 4.14420270e+04 -3.23513478e+01 -3.00082036e+01 
 4.15421261e+04 -3.23722902e+01 -3.00156759e+01 
 4.16422252e+04 -3.23931823e+01 -3.00230560e+01 
 4.17423243e+04 -3.24140243e+01 -3.00303441e+01 
 4.18424234e+04 -3.24348165e+01 -3.00375404e+01 
 4.19425225e+04 -3.24555590e+01 -3.00446450e+01 
 4.20426216e+04 -3.24762521e+01 -3.00516580e+01 
 4.21427207e+04 -3.24968961e+01 -3.00585797e+01 
 4.22428198e+04 -3.25174911e+01 -3.00654101e+01 
 4.23429189e+04 -3.25380375e+01 -3.00721494e+01 
 4.24430180e+04 -3.25585353e+01 -3.00787977e+01 
 4.25431171e+04 -3.25789850e+01 -3.00853552e+01 
 4.26432162e+04 -3.25993867e+01 -3.00918220e+01 
 4.27433153e+04 -3.26197405e+01 -3.00981983e+01 
 4.28434144e+04 -3.26400469e+01 -3.01044841e+01 
 4.29435135e+04 -3.26603058e+01 -3.01106797e+01 
 4.30436126e+04 -3.26805177e+01 -3.01167851e+01 
 4.31437117e+04 -3.27006827e+01 -3.01228004e+01 
 4.32438108e+04 -3.27208009e+01 -3.01287258e+01 
 4.33439099e+04 -3.27408728e+01 -3.01345615e+01 
 4.34440090e+04 -3.27608983e+01 -3.01403075e+01 
 4.35441081e+04 -3.27808779e+01 -3.01459639e+01 
 4.36442072e+04 -3.28008116e+01 -3.01515309e+01 
 4.37443063e+04 -3.28206996e+01 -3.01570085e+01 
 4.38444054e+04 -3.28405423e+01 -3.01623970e+01 
 4.39445045e+04 -3.28603398e+01 -3.01676963e+01 
 4.40446036e+04 -3.28800923e+01 -3.01729067e+01 
 4.41447027e+04 -3.28997999e+01 -3.01780282e+01 
 4.42448018e+04 -3.29194630e+01 -3.01830609e+01 
 4.43449009e+04 -3.29390817e+01 -3.01880049e+01 
 4.44450000e+04 -3.29586562e+01 -3.01928604e+01 
 4.45450991e+04 -3.29781867e+01 -3.01976273e+01 
 4.46451982e+04 -3.29976734e+01 -3.02023059e+01 
